state_initial,state,location_id,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date,all_non-ess_business_duration,travel_limit_duration,any_business_duration,any_gathering_restrict_duration,educational_fac_duration,stay_home_duration
OR,Oregon,560,2020-11-01,2020-04-20,2020-12-27,2020-11-01,2020-04-24,2020-12-27,2020-11-01,2020-04-26,2020-12-27,7900.0,655.0,5242.0,445.0,2658.0,210.0,,,2020-03-23,2020-06-19,2020-03-16,,2020-03-12,,2020-03-17,,,,,,,,,88.0
PA,Pennsylvania,561,2020-04-29,2020-04-24,2020-05-04,2020-04-29,2020-04-27,2020-05-01,2020-04-29,2020-04-28,2020-04-29,42658.0,3250.0,28263.0,2206.0,14395.0,1044.0,,,2020-04-01,2020-06-05,2020-03-17,,2020-04-01,,2020-03-18,2020-07-03,2020-03-23,2020-05-08,46.0,,107.0,,,65.0
RI,Rhode Island,562,2020-05-20,2020-05-04,2020-05-26,2020-05-22,2020-05-10,2020-05-23,2020-05-22,2020-05-10,2020-05-23,2757.0,153.0,1962.0,111.0,795.0,42.0,,,2020-03-28,2020-05-09,2020-03-16,,2020-03-17,,2020-03-17,,,,,,,,,42.0
SC,South Carolina,563,2020-11-01,2020-07-11,2020-12-13,2020-11-01,2020-07-12,2020-12-12,2020-11-01,2020-07-12,2020-12-12,13707.0,1244.0,9027.0,839.0,4680.0,405.0,,,2020-04-07,2020-05-04,2020-03-16,,2020-03-18,,2020-03-18,,,,,,,,,27.0
SD,South Dakota,564,2020-05-08,2020-05-06,2020-12-27,2020-07-13,2020-05-08,2020-12-27,2020-07-13,2020-05-08,2020-12-27,4733.0,202.0,2927.0,128.0,1806.0,74.0,,,,,2020-03-16,,2020-04-06,2020-04-28,,,,,,,,22.0,,
TN,Tennessee,565,2020-08-05,2020-07-13,2020-12-27,2020-08-04,2020-07-13,2020-12-27,2020-08-04,2020-07-13,2020-12-27,21784.0,1834.0,13972.0,1205.0,7812.0,629.0,,,2020-04-02,2020-05-26,2020-03-20,,2020-03-23,,2020-03-23,,2020-04-01,2020-05-26,55.0,,,,,54.0
TX,Texas,566,2020-08-31,2020-07-15,2020-12-27,2020-08-31,2020-07-15,2020-12-27,2020-08-31,2020-07-15,2020-12-27,77428.0,6378.0,48794.0,4118.0,28634.0,2260.0,,,2020-04-02,2020-05-01,2020-03-19,,2020-03-21,2020-06-04,2020-03-21,,,,,,,75.0,,29.0
UT,Utah,567,2020-11-01,2020-07-14,2020-12-27,2020-11-01,2020-07-15,2020-12-27,2020-11-01,2020-07-15,2020-12-27,6726.0,428.0,3955.0,257.0,2771.0,171.0,,,,,2020-03-16,,2020-03-19,2020-05-01,2020-03-19,,,,,,,43.0,,
VT,Vermont,568,2020-04-25,2020-03-20,2020-04-27,2020-04-04,2020-03-27,2020-04-27,2020-04-05,2020-03-19,2020-04-27,1525.0,102.0,992.0,68.0,533.0,34.0,,,2020-03-24,2020-05-15,2020-03-18,,2020-03-13,,2020-03-17,,2020-03-25,2020-05-04,40.0,,,,,52.0
VA,Virginia,569,2020-05-11,2020-04-25,2020-12-27,2020-05-15,2020-04-27,2020-12-27,2020-05-15,2020-04-26,2020-12-27,23270.0,1241.0,16689.0,912.0,6581.0,329.0,,,2020-03-30,2020-06-05,2020-03-16,,2020-03-15,,2020-03-17,,2020-03-24,2020-05-15,52.0,,,,,67.0
WA,Washington,570,2020-11-01,2020-03-31,2020-12-27,2020-11-01,2020-04-02,2020-12-27,2020-11-01,2020-03-31,2020-12-27,15235.0,1116.0,10328.0,775.0,4907.0,341.0,,,2020-03-23,2020-07-03,2020-03-13,,2020-03-11,,2020-03-16,,2020-03-25,2020-07-03,100.0,,,,,102.0
WV,West Virginia,571,2020-05-01,2020-04-17,2020-12-27,2020-04-28,2020-04-17,2020-12-27,2020-04-27,2020-04-16,2020-12-27,8403.0,568.0,5371.0,372.0,3032.0,196.0,,,2020-03-25,2020-05-04,2020-03-14,,2020-03-24,,2020-03-18,,2020-03-24,2020-05-04,41.0,,,,,40.0
WI,Wisconsin,572,2020-04-11,2020-04-08,2020-12-27,2020-04-11,2020-04-10,2020-12-27,2020-04-11,2020-04-10,2020-12-27,14232.0,476.0,8867.0,303.0,5365.0,173.0,,,2020-03-25,2020-05-13,2020-03-18,,2020-03-17,,2020-03-17,,2020-03-25,2020-05-11,47.0,,,,,49.0
WY,Wyoming,573,2019-12-18,2019-12-18,2019-12-18,2019-12-18,2019-12-18,2019-12-18,2019-12-18,2019-12-18,2019-12-18,2453.0,105.0,1384.0,60.0,1069.0,45.0,,,,,2020-03-19,,2020-03-20,,2020-03-19,2020-05-15,,,,,57.0,,,
